intervention_idx,dose_original,factor,dose_new,rmse_factual,rmse_cf,true_effect_mean,pred_effect_mean,effect_error
1,6.2,0.5,3.1,14.986679513192014,65.55029303766126,46.05555555555556,-0.19271371233665213,46.24826926789221
1,6.2,0.8,4.960000000000001,14.986679513192014,33.407810452965165,18.083333333333332,1.1275356910566714,16.95579764227666
1,6.2,1.2,7.4399999999999995,14.986679513192014,7.256668705478944,-19.0,-9.349322383075858,9.650677616924142
1,6.2,1.5,9.3,14.986679513192014,16.317601767681712,-46.166666666666664,-29.866695497791607,16.299971168875057
2,4.8,0.5,2.4,14.05741690785615,31.487076586359624,35.27777777777778,11.117822726333277,24.159955051444502
2,4.8,0.8,3.84,14.05741690785615,17.66612791016996,14.083333333333334,7.642191445805976,6.441141887527358
2,4.8,1.2,5.76,14.05741690785615,13.932246242245052,-14.777777777777779,-8.635607154515377,6.142170623262402
2,4.8,1.5,7.199999999999999,14.05741690785615,25.766157129118902,-35.833333333333336,-16.915588517077197,18.91774481625614
3,6.7,0.5,3.35,15.699645377733315,43.13594677520615,51.166666666666664,3.923148409465957,47.243518257200705
3,6.7,0.8,5.36,15.699645377733315,9.6821442207146,20.944444444444443,4.234756417427305,16.709688027017137
3,6.7,1.2,8.04,15.699645377733315,29.732686090727782,-20.166666666666668,-8.998918659571068,11.1677480070956
3,6.7,1.5,10.05,15.699645377733315,44.30553223674272,-46.638888888888886,-17.94973747269316,28.689151416195728
4,4.8,0.5,2.4,7.740058404984945,34.93372229956338,36.05555555555556,2.184230089578059,33.8713254659775
4,4.8,0.8,3.84,7.740058404984945,9.633293014741797,15.25,4.0568655612539155,11.193134438746085
4,4.8,1.2,5.76,7.740058404984945,11.847056743768675,-14.333333333333334,-10.96982025424724,3.3635130790860934
4,4.8,1.5,7.199999999999999,7.740058404984945,23.43146148191384,-35.55555555555556,-26.265508924323868,9.29004663123169
5,5.2,0.5,2.6,11.448238654625516,46.469571431713284,38.888888888888886,3.305436404543625,35.58345248434526
5,5.2,0.8,4.16,11.448238654625516,22.507526502934383,15.38888888888889,2.678835531687677,12.710053357201213
5,5.2,1.2,6.24,11.448238654625516,10.066064527103094,-14.944444444444445,-7.518497975533099,7.425946468911346
5,5.2,1.5,7.800000000000001,11.448238654625516,15.554539829671464,-38.05555555555556,-28.15330945240824,9.902246103147316
6,4.3,0.5,2.15,3.1982263053121436,35.31694866396907,31.36111111111111,0.7738568709919799,30.58725424011913
6,4.3,0.8,3.44,3.1982263053121436,14.892463375898046,12.777777777777779,0.9752593237683781,11.8025184540094
6,4.3,1.2,5.159999999999999,3.1982263053121436,9.765988230314106,-12.13888888888889,-3.4410480712800693,8.69784081760882
6,4.3,1.5,6.449999999999999,3.1982263053121436,29.335993417251775,-32.833333333333336,-8.576559816852429,24.256773516480905
7,5.3,0.5,2.65,5.667427337718584,27.425552235889665,40.44444444444444,14.692676718016758,25.751767726427687
7,5.3,0.8,4.24,5.667427337718584,6.816263474612225,16.555555555555557,9.929675852312009,6.625879703243548
7,5.3,1.2,6.359999999999999,5.667427337718584,13.998724532343676,-15.5,-9.126296966825986,6.373703033174014
7,5.3,1.5,7.949999999999999,5.667427337718584,31.488370448974752,-38.19444444444444,-17.314097539183404,20.88034690526104
8,6.9,0.5,3.45,9.079618423936493,56.8527581521646,51.388888888888886,3.121577604348838,48.26731128454005
8,6.9,0.8,5.5200000000000005,9.079618423936493,24.083476323673775,20.694444444444443,2.680449995102698,18.013994449341745
8,6.9,1.2,8.28,9.079618423936493,13.97348085755492,-20.63888888888889,-15.668349043546016,4.9705398453428735
8,6.9,1.5,10.350000000000001,9.079618423936493,24.619291494867408,-49.888888888888886,-34.44093997560264,15.447948913286247
9,5.4,0.5,2.7,8.731713848612218,31.36984130185655,40.05555555555556,5.995409182255556,34.0601463733
9,5.4,0.8,4.32,8.731713848612218,5.42477537988836,15.305555555555555,5.4399622632144675,9.865593292341089
9,5.4,1.2,6.48,8.731713848612218,23.59469330813915,-15.833333333333334,-4.877448055905049,10.955885277428285
9,5.4,1.5,8.100000000000001,8.731713848612218,42.370207084491284,-39.72222222222222,-11.729762069449244,27.992460152772978
10,6.1,0.5,3.05,6.833056431102223,27.901927013890482,45.666666666666664,18.338913051898867,27.327753614767797
10,6.1,0.8,4.88,6.833056431102223,5.964710443790082,18.13888888888889,11.56048201900767,6.578406869881219
